track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
4hhc1rMxhTFbTRf9gCFgyR,238866,44,0.773,0.709,0.188,1.55e-06,0.103,-12.383,0.0624,79.042,4,1
0II8bNccmnWMTkc0LHuROD,265168,48,0.558,0.0953,0.483,0.0,0.213,-10.749,0.086,87.884,4,1
3n0944L23I5MwduK8tzZ1C,219428,56,0.698,0.463,0.935,0.000107,0.11,-5.911,0.0709,104.992,4,1
4jYX71osH1K8LA6r3Z7R2d,408000,45,0.587,0.574,0.411,1.79e-05,0.121,-8.245,0.0336,133.066,4,1
2j182eEbBTo7a8VwrR2IZg,242500,24,0.45,0.023,0.695,0.000202,0.111,-5.79,0.0345,123.928,5,1
42JI4hVOPLwQ0J7WOfIieR,174193,65,0.799,0.486,0.593,0.0,0.0484,-5.492,0.0367,123.966,4,1
4ELXnfY3YMJi47WfcRl5W1,122291,22,0.71,0.307,0.927,0.0,0.856,-4.619,0.15,113.975,4,1
5VxL1b7OOpc1m0n2eAiAoo,309838,45,0.671,0.693,0.386,0.000227,0.144,-10.574,0.0358,134.957,1,1
6FZTMgnafPK12jtI15lf01,187750,32,0.366,0.933,0.363,0.0221,0.104,-10.552,0.0302,142.266,4,1
0TQBZ1MC2Y6CuDjvMCFHMg,272000,23,0.535,0.0402,0.823,0.0,0.232,-3.52,0.0677,168.944,4,1
2GyA33q5rti5IxkMQemRDH,223853,68,0.687,0.102,0.761,0.0,0.147,-4.582,0.0876,113.939,4,1
2QZ7WLBE8h2y1Y5Fb8RYbH,211360,71,0.622,0.0573,0.712,0.0,0.13,-7.321,0.066,140.025,4,1
2o5YDkVrId7JeumduZJ6NL,210866,46,0.7,0.27,0.654,0.0,0.0768,-7.126,0.297,112.039,4,1
3QGsuHI8jO1Rx4JWLUh9jd,187973,82,0.444,0.106,0.819,0.0,0.107,-4.078,0.341,82.695,4,1
3zkWCteF82vJwv0hRLba76,206880,78,0.746,0.0152,0.754,0.0,0.0486,-6.684,0.0676,149.882,4,1
4PhsKqMdgMEUSstTDAmMpg,249040,79,0.572,0.222,0.631,0.0,0.135,-9.836,0.0476,134.078,4,1
51cJFmn6j0LUaxef2lQ3dz,190106,43,0.647,0.551,0.648,0.0,0.192,-4.957,0.0314,81.892,4,1
59eeV0SIeyd431uyjAWCRe,225424,70,0.594,0.385,0.534,0.0,0.877,-8.007,0.0428,91.082,4,1
5QO79kh1waicV47BqGRL3g,215626,86,0.68,0.0212,0.826,1.24e-05,0.543,-5.487,0.0309,118.051,4,1
6LsAAHotRLMOHfCsSfYCsz,190800,69,0.692,0.524,0.809,0.0,0.147,-4.198,0.0602,123.911,4,1
6ukMqDxnOPOgoHdak7Kyp3,190453,61,0.795,0.417,0.616,0.0,0.349,-5.281,0.06,110.015,4,1
0VO8gYVDSwM1Qdd2GsMoYK,234000,79,0.553,0.0027,0.659,0.0,0.105,-7.295,0.0391,120.146,4,1
2JzZzZUQj3Qff7wapcbKjc,229525,79,0.689,0.369,0.481,1.03e-06,0.0649,-7.503,0.0815,80.025,4,1
2LBqCSwhJGcFQeTHMVGwy3,260253,87,0.586,0.111,0.525,0.0,0.134,-7.163,0.0615,133.629,4,1
2p8IUWQDrpjuFltbdgLOag,361026,83,0.664,0.0811,0.572,0.00604,0.121,-6.099,0.0305,108.959,4,1
376Gg7Oxo5C5jUWDWpVXeI,200600,57,0.716,0.554,0.519,0.0,0.0993,-7.472,0.0554,87.963,4,1
